Date;CowID;DeathReason
22.06.2021;NL0667601268;ПАДЕЖ
31.12.2021;NL0713794784;НОВОТ060
02.01.2022;RU3101100502808;ЗДОРОВЬЕ
02.01.2022;RU3101100502808;НОВОТ060
03.01.2022;RU3110204130514;НОВОТ060
03.01.2022;NL0713794784;ЗДОРОВЬЕ
04.01.2022;NL0680007698;НОВОТ060
04.01.2022;HU3372948895;НОВОТ060
05.01.2022;NL0765159687;ЗДОРОВЬЕ
08.01.2022;RU3111005017435;ЗДОРОВЬЕ
08.01.2022;NL0670125788;НОВОТ060
10.01.2022;RU3110204130210;ЗДОРОВЬЕ
15.01.2022;RU3101090116984;ЗДОРОВЬЕ
20.01.2022;DE1405715686;ЗДОРОВЬЕ
20.01.2022;RU3110204122396;ЗДОРОВЬЕ
21.01.2022;NL0649275599;ВОСПРОИЗ
21.01.2022;DE0361541135;НОВОТ060
21.01.2022;RU3101100548590;ЗДОРОВЬЕ
23.01.2022;RU3110204121960;ЗДОРОВЬЕ
24.01.2022;RU3101090129790;ЗДОРОВЬЕ
24.01.2022;RU3111005016155;НОВОТ060
25.01.2022;RU3101090120283;НОВОТ060
25.01.2022;NL0686754480;ЗДОРОВЬЕ
26.01.2022;RU3110204122201;ЗДОРОВЬЕ
28.01.2022;RU3101090127052;ЗДОРОВЬЕ
28.01.2022;RU3101090127206;ПРОДУКТВ
28.01.2022;NL0582152908;НОВОТ060
28.01.2022;DE0358928019;НОВОТ060
28.01.2022;RU3111005007416;ЗДОРОВЬЕ
28.01.2022;NL0734610355;НОВОТ060
29.01.2022;RU3101090120487;ЗДОРОВЬЕ
01.02.2022;NL0673232238;НОВОТ060
02.02.2022;NL0673232238;ЗДОРОВЬЕ
03.02.2022;RU3110204123594;ЗДОРОВЬЕ
03.02.2022;DE0539105478;НОВОТ060
03.02.2022;NL0763035664;ЗДОРОВЬЕ
03.02.2022;RU3101100503155;ЗДОРОВЬЕ
04.02.2022;RU3101090127862;ЗДОРОВЬЕ
06.02.2022;NL6201054823;НОВОТ060
06.02.2022;RU3101090159206;ЗДОРОВЬЕ
07.02.2022;RU3101090156249;ЗДОРОВЬЕ
07.02.2022;DE1405754349;НОВОТ060
07.02.2022;NL0876411030;НОВОТ060
08.02.2022;RU3101090129492;ЗДОРОВЬЕ
08.02.2022;RU3111005007589;ПРОДУКТВ
09.02.2022;RU3111005016303;ЗДОРОВЬЕ
09.02.2022;NL0730637189;ЗДОРОВЬЕ
10.02.2022;RU3101150166604;ЗДОРОВЬЕ
11.02.2022;RU3110204130810;ЗДОРОВЬЕ
12.02.2022;RU3110204120917;ЗДОРОВЬЕ
12.02.2022;RU3110204121962;ЗДОРОВЬЕ
13.02.2022;RU3101100547577;НОВОТ060
14.02.2022;RU3101090129444;ЗДОРОВЬЕ
15.02.2022;RU3101090119641;ЗДОРОВЬЕ
15.02.2022;RU3101090118821;ЗДОРОВЬЕ
15.02.2022;RU3111005048059;ЗДОРОВЬЕ
15.02.2022;RU3101090157093;ЗДОРОВЬЕ
15.02.2022;RU3111005017808;ЗДОРОВЬЕ
15.02.2022;RU3101090119159;ЗДОРОВЬЕ
15.02.2022;RU3101090120493;ЗДОРОВЬЕ
15.02.2022;RU3101090120206;ЗДОРОВЬЕ
17.02.2022;RU3111005008437;НОВОТ060
18.02.2022;RU3111005017153;НОВОТ060
18.02.2022;RU3101090119328;НОВОТ060
19.02.2022;RU3111005003193;.
21.02.2022;DE0358274327;ЗДОРОВЬЕ
21.02.2022;NL0662576581;НОВОТ060
22.02.2022;NL0661036572;ПРОДУКТВ
22.02.2022;RU3110204130498;ЗДОРОВЬЕ
23.02.2022;RU3111005016356;ЗДОРОВЬЕ
24.02.2022;RU3110204123605;ЗДОРОВЬЕ
24.02.2022;NL0742257742;ЗДОРОВЬЕ
24.02.2022;RU3111005048854;ЗДОРОВЬЕ
25.02.2022;RU3111005017489;ЗДОРОВЬЕ
26.02.2022;RU3110204121408;ЗДОРОВЬЕ
26.02.2022;HU3729705195;ЗДОРОВЬЕ
26.02.2022;DE0359300210;ЗДОРОВЬЕ
27.02.2022;DE0359300210;ЗДОРОВЬЕ
27.02.2022;HU3729705195;ЗДОРОВЬЕ
28.02.2022;RU3101090127437;ЗДОРОВЬЕ
28.02.2022;RU3110204123340;ЗДОРОВЬЕ
28.02.2022;RU3101100547355;ЗДОРОВЬЕ
28.02.2022;DE1405987339;ЗДОРОВЬЕ
01.03.2022;RU3101090120010;ЗДОРОВЬЕ
02.03.2022;NL0743452069;ЗДОРОВЬЕ
03.03.2022;DE0358914686;НОВОТ060
03.03.2022;RU3101090125769;ЗДОРОВЬЕ
03.03.2022;RU3110204121430;ЗДОРОВЬЕ
04.03.2022;RU3101090126871;ЗДОРОВЬЕ
05.03.2022;RU3110204130633;ЗДОРОВЬЕ
06.03.2022;RU3110204130679;ЗДОРОВЬЕ
06.03.2022;RU3110204130938;ЗДОРОВЬЕ
07.03.2022;RU3111005046154;ЗДОРОВЬЕ
07.03.2022;NL0750381819;ЗДОРОВЬЕ
07.03.2022;RU3111005007691;ЗДОРОВЬЕ
07.03.2022;DE0360731555;ЗДОРОВЬЕ
07.03.2022;NL0625576924;ЗДОРОВЬЕ
07.03.2022;NL0737280579;ЗДОРОВЬЕ
07.03.2022;NL0734321091;ЗДОРОВЬЕ
08.03.2022;NL0647486599;ЗДОРОВЬЕ
08.03.2022;DE0361320680;НОВОТ060
09.03.2022;RU3111005016389;ЗДОРОВЬЕ
10.03.2022;RU3101090119939;ЗДОРОВЬЕ
11.03.2022;NL0576254421;ЗДОРОВЬЕ
11.03.2022;RU3101100547066;НОВОТ060
11.03.2022;RU3101090116342;ЗДОРОВЬЕ
11.03.2022;RU3101090118115;НОВОТ060
11.03.2022;DE0359001974;ЗДОРОВЬЕ
11.03.2022;RU3111005016340;НОВОТ060
13.03.2022;RU3101090157090;ЗДОРОВЬЕ
13.03.2022;RU3101090120335;ЗДОРОВЬЕ
14.03.2022;DE0358632691;ЗДОРОВЬЕ
14.03.2022;RU3101090120701;ЗДОРОВЬЕ
14.03.2022;RU3111005016918;ЗДОРОВЬЕ
14.03.2022;RU3110204130711;ЗДОРОВЬЕ
15.03.2022;RU3101090120188;ЗДОРОВЬЕ
15.03.2022;RU3110204122365;ЗДОРОВЬЕ
17.03.2022;RU3110204130711;ЗДОРОВЬЕ
19.03.2022;RU3101090156225;ЗДОРОВЬЕ
19.03.2022;RU3101090156255;ЗДОРОВЬЕ
19.03.2022;RU3101150166656;ЗДОРОВЬЕ
20.03.2022;RU3111005008708;ПРОДУКТВ
20.03.2022;RU3101100549803;ЗДОРОВЬЕ
20.03.2022;RU3110204121458;ЗДОРОВЬЕ
20.03.2022;RU3101100549803;ВОСПРОИЗ
21.03.2022;RU3111005017070;НОВОТ060
21.03.2022;RU3111005007426;НОВОТ060
21.03.2022;RU3111005007315;НОВОТ060
21.03.2022;RU3111005003788;ЗДОРОВЬЕ
22.03.2022;DE0359842102;ЗДОРОВЬЕ
22.03.2022;RU3111005017185;ЗДОРОВЬЕ
23.03.2022;RU3101090120481;ЗДОРОВЬЕ
23.03.2022;HU3372971978;НОВОТ060
24.03.2022;NL6264026993;ЗДОРОВЬЕ
25.03.2022;RU3101090129090;ЗДОРОВЬЕ
26.03.2022;RU3101090118987;ЗДОРОВЬЕ
27.03.2022;RU3101100549674;НОВОТ060
28.03.2022;RU3101050305153;ЗДОРОВЬЕ
29.03.2022;RU3110204122959;ЗДОРОВЬЕ
31.03.2022;NL0656280892;ЗДОРОВЬЕ
31.03.2022;RU3111005048244;ЗДОРОВЬЕ
01.04.2022;RU3110204122959;ЗДОРОВЬЕ
01.04.2022;RU3101150166187;ЗДОРОВЬЕ
01.04.2022;RU3101100549699;НОВОТ060
06.04.2022;RU3101090130052;ЗДОРОВЬЕ
06.04.2022;NL0753352072;ЗДОРОВЬЕ
09.04.2022;RU3110204123607;НОВОТ060
13.04.2022;DE0359060571;НОВОТ060
14.04.2022;RU3110204122954;НОВОТ060
17.04.2022;RU3101090120141;НОВОТ060
18.04.2022;RU3101090156676;ЗДОРОВЬЕ
18.04.2022;NL0654951578;НОВОТ060
19.04.2022;RU3111005048005;ЗДОРОВЬЕ
19.04.2022;RU3111005017104;НОВОТ060
19.04.2022;RU3101150166688;НОВОТ060
19.04.2022;NL0669615331;НОВОТ060
19.04.2022;RU3111005017887;ЗДОРОВЬЕ
19.04.2022;RU3110204130804;ЗДОРОВЬЕ
22.04.2022;RU3111005007095;НОВОТ060
22.04.2022;RU3101100546446;ЗДОРОВЬЕ
22.04.2022;DE0360689168;НОВОТ060
22.04.2022;NL0942179259;ЗДОРОВЬЕ
23.04.2022;DE1504338141;ЗДОРОВЬЕ
24.04.2022;RU3101090126405;ЗДОРОВЬЕ
24.04.2022;RU3101150140117;ЗДОРОВЬЕ
25.04.2022;NL0725159786;НОВОТ060
27.04.2022;RU3111005017857;ЗДОРОВЬЕ
28.04.2022;RU3101090156266;ЗДОРОВЬЕ
28.04.2022;RU3110204122685;ЗДОРОВЬЕ
