Date,Farm,MilkingAmount,MilkingTime,MilkingMaxAmount
2020-01-30,Вереск,34936.17,1003453,15931.47
2020-01-30,Клевер,4119.1,270157,1157.0
2020-01-30,Ромашка,56499.6,1464481,23482.2
2020-01-30,Сирень,43756.34,1332836,0.0
2020-01-31,Вереск,21880.29,654508,9786.19
2020-01-31,Клевер,4317.9,228809,1216.3
2020-01-31,Ромашка,55064.3,1442544,23739.21
2020-01-31,Сирень,48006.48,1455201,0.0
2020-02-01,Вереск,26392.11,734053,11384.46
2020-02-01,Клевер,4285.8,224595,1256.4
2020-02-01,Сирень,47482.64,1424313,0.0
2020-02-02,Сирень,47589.63,1459579,0.0
2020-02-02,Ромашка,54753.7,1436533,23602.97
2020-02-02,Вереск,38869.2,1103430,16896.09
2020-02-02,Клевер,4298.4,226013,1215.3
2020-02-03,Вереск,41086.36,1118867,17254.16
2020-02-03,Ромашка,54895.5,1406714,23383.73
2020-02-03,Сирень,46037.43,1355616,0.0
2020-02-04,Вереск,27100.98,773860,11475.46
2020-02-04,Ромашка,53882.1,1370122,22790.99
2020-02-04,Сирень,46367.47,1431235,0.0
2020-02-05,Вереск,38661.18,1070793,16380.65
2020-02-05,Ромашка,54833.1,1418814,23353.41
2020-02-05,Сирень,47734.27,1441510,0.0
2020-02-06,Сирень,47182.86,1417760,0.0
2020-02-06,Вереск,35932.04,1022321,15773.59
2020-02-06,Ромашка,53006.8,1391998,22727.96
2020-02-07,Сирень,47043.86,1425638,0.0
2020-02-07,Ромашка,34237.5,913610,15075.55
2020-02-07,Вереск,39441.36,1113407,16962.6
2020-02-08,Вереск,39348.81,1160299,16972.5
2020-02-08,Ромашка,39663.3,1028099,17124.04
2020-02-08,Сирень,46086.04,1438321,0.0
2020-02-09,Вереск,38123.25,1129810,16388.55
2020-02-09,Ромашка,52178.6,1361843,22865.24
2020-02-09,Сирень,45469.9,1407317,0.0
2020-02-10,Вереск,38770.78,1107661,16624.34
2020-02-10,Ромашка,53056.8,1399168,23066.67
2020-02-10,Сирень,44835.43,1388488,0.0
2020-02-11,Вереск,16075.2,462366,6886.33
2020-02-11,Ромашка,51370.4,1339248,22480.51
2020-02-11,Сирень,45031.88,1381682,0.0
2020-02-12,Сирень,45090.7,1417072,0.0
2020-02-12,Ромашка,52838.3,1370940,22888.13
2020-02-12,Вереск,36.0,811,12.45
2020-02-13,Вереск,19389.26,532076,8528.24
2020-02-13,Ромашка,52047.6,1343990,22613.82
2020-02-13,Сирень,44452.77,1415162,0.0
2020-02-14,Вереск,37446.92,1053037,16049.57
2020-02-14,Ромашка,41658.3,1090373,18119.54
2020-02-14,Сирень,42588.45,1317478,0.0
2020-02-15,Вереск,29861.08,906444,13439.3
2020-02-15,Ромашка,53797.6,1379553,23210.67
2020-02-15,Сирень,44006.01,1388542,0.0
2020-02-16,Вереск,31209.3,943293,13998.47
2020-02-16,Ромашка,53219.9,1367339,22958.71
2020-02-16,Сирень,44889.58,1463934,0.0
2020-02-17,Ромашка,52234.9,1322731,22251.85
2020-02-17,Сирень,43182.1,1340336,0.0
2020-02-17,Вереск,28192.63,768869,11531.15
2020-02-18,Вереск,25842.86,755661,11061.43
2020-02-18,Ромашка,52772.5,1332229,22945.58
2020-02-18,Сирень,38856.06,1250264,0.0
2020-02-19,Вереск,11353.14,321113,4838.2
2020-02-19,Ромашка,53398.3,1365543,23220.68
2020-02-19,Сирень,40035.1,1260085,0.0
2020-02-20,Вереск,23571.35,710912,10725.63
2020-02-20,Ромашка,41809.7,1082894,18442.37
2020-02-20,Сирень,38346.79,1237047,0.0
2020-02-21,Вереск,28790.45,827367,12106.82
2020-02-21,Ромашка,53246.2,1372878,22981.5
2020-02-21,Сирень,37077.44,1222518,0.0
2020-02-22,Сирень,38013.46,1296120,0.0
2020-02-23,Сирень,38745.73,1316591,0.0
2020-02-24,Сирень,36819.54,1234315,0.0
2020-02-24,Вереск,11867.14,353051,5204.54
2020-02-24,Ромашка,53422.6,1402899,23163.84
2020-02-25,Вереск,30091.21,891975,13536.95
2020-02-25,Ромашка,37253.4,1014241,16815.97
2020-02-25,Сирень,39178.26,1272459,0.0
2020-02-26,Вереск,30174.63,931646,13266.75
2020-02-26,Клевер,4280.2,368950,1274.6
2020-02-26,Ромашка,49303.9,1293827,21473.54
2020-02-26,Сирень,36833.76,1212442,0.0
2020-02-27,Вереск,35972.63,1030301,15663.34
2020-02-27,Клевер,2579.5,172067,744.7
2020-02-27,Ромашка,53420.8,1419730,22505.75
2020-02-27,Сирень,37636.61,1273707,0.0
2020-02-28,Сирень,39268.17,1304556,0.0
2020-02-28,Клевер,2478.0,253796,730.0
2020-02-28,Вереск,37635.71,1065582,15862.05
2020-02-28,Ромашка,53106.7,1380208,22409.62
2020-02-29,Вереск,36401.1,1057459,15275.03
2020-02-29,Клевер,2084.8,250079,629.9
2020-02-29,Ромашка,44539.1,1182627,19091.56
2020-02-29,Сирень,38373.38,1271710,0.0
2020-03-01,Вереск,36218.2,1038295,15416.34
2020-03-01,Клевер,1127.0,127270,366.9
2020-03-01,Ромашка,40548.8,1054094,17151.57
2020-03-01,Сирень,40331.02,1344804,0.0
2020-03-02,Вереск,15780.63,489234,7189.26
2020-03-02,Ромашка,54948.8,1356138,22260.63
2020-03-02,Сирень,40356.61,1281042,0.0
2020-03-03,Ромашка,53305.4,1368722,21962.45
2020-03-03,Сирень,37812.63,1262388,0.0
2020-03-03,Вереск,1593.64,42969,593.89
2020-03-04,Ромашка,46906.8,1274808,20902.93
2020-03-04,Сирень,21645.11,703661,0.0
2020-03-05,Вереск,11963.08,320475,4946.9
2020-03-05,Ромашка,44019.8,1189457,18258.19
2020-03-06,Вереск,14666.61,498009,6639.29
