Date;CowID;CowDiagnosis;HealSchema;HealPrep;HealDays
03.08.2019;RU3101100548737;Диарея;Нет схемы;ЦЕФТ;0
04.08.2019;RU3101090120953;Диарея;Нет схемы;ЛИНКОСПК;0
05.08.2019;RU3111005048045;Диарея;Нет схемы;ЦЕФТ;0
06.08.2019;RU3101100548738;Диарея;Нет схемы;ЦЕФТ;0
06.08.2019;RU3101100548752;Диарея;Нет схемы;ЦЕФТ;0
13.08.2019;RU3110204122580;Диарея;Нет схемы;ЦЕФТ;0
30.08.2019;RU3101100546878;Диарея;Нет схемы;ЦЕФТ;0
02.09.2019;NL0875878001;Диарея;Нет схемы;БЕНСТРЕП;0
09.09.2019;RU3111005046060;Диарея;Нет схемы;ЦЕФТ;0
15.09.2019;RU3110204121304;Диарея;Нет схемы;БЕНСТРЕП;0
17.09.2019;RU3101090156284;Диарея;Нет схемы;ЛИНКОСПК;0
20.09.2019;RU3110204122873;Диарея;Нет схемы;БЕНС;0
20.09.2019;RU3110204122652;Диарея;Нет схемы;ЦЕФТ;0
21.09.2019;RU3110204122870;Диарея;Нет схемы;ЦЕФТ;0
23.09.2019;RU3110204122665;Диарея;Нет схемы;ЦЕФТ;0
25.09.2019;RU3101100546991;Диарея;Нет схемы;ЦЕФТ;0
01.10.2019;RU3110204122580;Диарея;Нет схемы;БЕНС;0
01.10.2019;RU3101100546991;Диарея;Нет схемы;ЦЕФТ;0
04.10.2019;RU3110204122832;Диарея;Нет схемы;ЦЕФТ;0
05.10.2019;RU3110204122733;Диарея;Нет схемы;ЦЕФТ;0
08.10.2019;RU3110204122840;Диарея;Нет схемы;ЦЕФТ;0
10.10.2019;RU3110204122832;Диарея;Нет схемы;ЦЕФТ;0
11.10.2019;RU3110204122456;Диарея;Нет схемы;ЦЕФТ;0
17.10.2019;RU3110204122456;Диарея;Нет схемы;БЕНС;0
23.10.2019;RU3101100547762;Диарея;Нет схемы;ЦЕФТ;0
30.10.2019;RU3110204122767;Диарея;Нет схемы;ЦЕФТ;0
03.11.2019;NL0750519814;Диарея;Нет схемы;БЕНСТРЕП;0
03.11.2019;RU3110204122805;Диарея;Нет схемы;БЕНС;0
11.11.2019;RU3110204122685;Диарея;Нет схемы;БАЙТРИЛ;0
24.11.2019;RU3101100548298;Диарея;Нет схемы;БЕНСТР;0
24.11.2019;RU3101090130251;Диарея;Нет схемы;БАЙТРИЛ;0
06.12.2019;RU3110204130337;Диарея;Схема №2.5;БАЙТРИЛ;5
07.12.2019;RU3110204130337;Диарея;Схема №2.5;БЕНСТР;5
16.12.2019;RU3111005046275;Диарея;Схема №30.1;ЦЕФТ;6
