Date;CowID;LamenessSchema;Drug;LamenessDays
01.08.2019;RU3101090116342;-;С3.41.1Q;0
01.08.2019;RU3101150173791;Нет схемы;ЯЗВАР.4Q;0
01.08.2019;RU3101090127462;Нет схемы;ЯЗВАР.3Q;0
01.08.2019;RU3101090127719;Нет схемы;С3.42.3Q;0
03.08.2019;RU3110204012988;Нет схемы;СХ3.5.3Q;0
04.08.2019;RU3101090116668;Нет схемы;ЯЗВАР.3Q;0
04.08.2019;RU3101090118411;Нет схемы;С3.41.3Q;0
04.08.2019;RU3101090116342;Нет схемы;ЯЗВАР.2Q;0
04.08.2019;RU3101090124300;Нет схемы;ЯЗВАР.3Q;0
04.08.2019;RU3101090116180;Нет схемы;ЯЗВАР.4Q;0
05.08.2019;RU3101090127898;Нет схемы;КЛУБН.3Q;0
05.08.2019;RU3101090118411;Нет схемы;ЯЗВАР.3Q;0
06.08.2019;RU3101090127719;Нет схемы;ЯЗВАР.3Q;0
06.08.2019;RU3110204121362;Нет схемы;КЛУБН.4Q;0
06.08.2019;RU3101090117597;Нет схемы;ЯЗВАР.2Q;0
06.08.2019;RU3101090117689;Нет схемы;ЯЗВАР.23;0
06.08.2019;RU3101090116342;Нет схемы;С3.42.1Q;0
06.08.2019;RU3101090118500;Нет схемы;ЯЗВАР.34;0
06.08.2019;RU3101050300970;Нет схемы;СХ3.5.4Q;0
07.08.2019;RU3101090118199;Нет схемы;ЯЗВАР.1Q;0
07.08.2019;RU3111005008968;Нет схемы;ЯЗВАР.4Q;0
07.08.2019;RU3101090117056;Нет схемы;ЯЗВАР.3Q;0
07.08.2019;RU3101090116668;Нет схемы;ЯЗВАР.3Q;0
07.08.2019;NL0869187535;Нет схемы;C3.41.3Q;0
07.08.2019;RU3101090118348;Нет схемы;ЯЗВАР.2Q;0
07.08.2019;RU3110204121049;Нет схемы;СХ3.5.3Q;0
08.08.2019;RU3101150173870;Нет схемы;КЛУБН.4Q;0
08.08.2019;RU3110204120633;Нет схемы;С3.41.3Q;0
09.08.2019;RU3110204130323;Нет схемы;ЯЗВАР.4Q;0
09.08.2019;RU3110204120633;Нет схемы;ЯЗВАР.3Q;0
09.08.2019;RU3111005007296;Нет схемы;ЯЗВАР.3Q;0
10.08.2019;RU3101090118500;Нет схемы;ЯЗВАР.34;0
10.08.2019;RU3101090116668;Нет схемы;ЯЗВАР.3Q;0
10.08.2019;RU3101090117689;Нет схемы;ЯЗВАР.3Q;0
10.08.2019;RU3101090117597;Нет схемы;ЯЗВАР.2Q;0
10.08.2019;RU3101090127719;Нет схемы;С3.41.4Q;0
11.08.2019;NL0928618459;Нет схемы;СХ3.5.3Q;0
11.08.2019;RU3101090118411;Нет схемы;С3.41.3Q;0
12.08.2019;RU3101090127652;Нет схемы;ЯЗВАР.4Q;0
12.08.2019;NL0713748743;Нет схемы;ЯЗВАР.3Q;0
12.08.2019;RU3111005007105;Нет схемы;ЯЗВАР.3Q;0
12.08.2019;RU3101150173791;Нет схемы;ЯЗВАР.3Q;0
12.08.2019;RU3101090127462;Нет схемы;ЯЗВАР.3Q;0
12.08.2019;RU3101090116180;Нет схемы;ЯЗВАР.4Q;0
13.08.2019;RU3101090118470;Нет схемы;ЯЗВАР.1Q;0
13.08.2019;RU3101090127652;Нет схемы;ЯЗВАР.4Q;0
13.08.2019;RU3101090173857;Нет схемы;ЯЗВАР.4Q;0
13.08.2019;RU3101090118773;Нет схемы;ЯЗВАР.3Q;0
13.08.2019;RU3110204121362;Нет схемы;КЛУБН.4Q;0
14.08.2019;RU3101090127719;Нет схемы;ЯЗВАР.4Q;0
14.08.2019;RU3110204130323;Нет схемы;ЯЗВАР.4Q;0
14.08.2019;RU3101090117689;Нет схемы;ЯЗВАР.3Q;0
14.08.2019;RU3101100503376;Нет схемы;ЯЗВАР.4Q;0
14.08.2019;RU3101090118500;Нет схемы;ЯЗВАР34Q;0
15.08.2019;RU3110204121768;Нет схемы;С3.41.1Q;0
15.08.2019;RU3101090116342;Нет схемы;С3.42.1Q;0
15.08.2019;NL0869187535;Нет схемы;C3.41.1Q;0
15.08.2019;RU3101090127462;Нет схемы;ЯЗВАР.3Q;0
15.08.2019;RU3101090124300;Нет схемы;ЯЗВАР.3Q;0
16.08.2019;RU3101090118401;Нет схемы;ЯЗВАР.4Q;0
16.08.2019;RU3101090118411;Нет схемы;С3.41.3Q;0
16.08.2019;RU3101090117597;Нет схемы;ЯЗВАР.2Q;0
16.08.2019;RU3110204120633;Нет схемы;ЯЗВАР.3Q;0
17.08.2019;RU3101150108437;Нет схемы;ЯЗВАР.3Q;0
18.08.2019;RU3101090119793;Нет схемы;С3.42.3Q;0
19.08.2019;RU3111005008274;Нет схемы;ЯЗВАР.3Q;0
19.08.2019;RU3101090127462;Нет схемы;ЯЗВАР.3Q;0
19.08.2019;RU3101090127719;Нет схемы;С3.42.4Q;0
19.08.2019;NL0928618459;Нет схемы;СХ3.5.3Q;0
