Date;CowID;MawSchema;Operation;MawDays
04.10.2019;RU3111005007152;Нет схемы;ОПЕРАЦИЯ;0
19.10.2019;RU3101090128018;Нет схемы;ОПЕРАЦИЯ;0
20.10.2019;RU3101090128018;Нет схемы;ОПЕРАЦИЯ;0
06.11.2019;NL0750519814;Нет схемы;ОПЕРАЦИЯ;0
17.11.2019;RU3101090128187;Нет схемы;ОПЕРАЦИЯ;0
04.12.2019;RU3101100503614;Схема №2.8;ОПЕРАЦИЯ;11
06.12.2019;RU3111005003748;Схема №2.8;ОПЕРАЦИЯ;11
09.12.2019;RU3110204012804;Схема №2.8;ОПЕРАЦИЯ;11
23.12.2019;RU3110204130337;Схема №2.8;ОПЕРАЦИЯ;11
27.12.2019;NL0867676930;Схема №2.8;ОПЕРАЦИЯ;11
06.01.2020;RU3110204012874;Схема №2.8;ОПЕРАЦИЯ;11
06.01.2020;RU3110204120917;Схема №2.8;ОПЕРАЦИЯ;11
05.02.2020;RU3101100503624;Схема №2.8;ОПЕРАЦИЯ;11
05.02.2020;RU3101100503665;Схема №2.8;ОПЕРАЦИЯ;11
27.02.2020;NL0918630210;Схема №2.8;ОПЕРАЦИЯ;11
27.02.2020;NL0871714763;Схема №2.8;ОПЕРАЦИЯ;11
11.03.2020;RU3101100503688;Схема №2.8;ОПЕРАЦИЯ;11
11.03.2020;DE0357891018;Схема №2.8;ОПЕРАЦИЯ;11
20.03.2020;DE0360496880;Схема №2.8;ОПЕРАЦИЯ;11
24.03.2020;RU3111005003788;Схема №2.8;ОПЕРАЦИЯ;11
24.03.2020;RU3110204121553;Схема №2.8;ОПЕРАЦИЯ;11
01.04.2020;RU3110204121469;Схема №2.8;ОПЕРАЦИЯ;11
09.04.2020;RU3111005002010;Схема №2.8;ОПЕРАЦИЯ;11
10.04.2020;NL0720220739;Схема №2.8;ОПЕРАЦИЯ;11
17.04.2020;DE0358626059;Схема №2.8;ОПЕРАЦИЯ;11
24.04.2020;NL0672780185;Схема №2.8;ОПЕРАЦИЯ;11
29.04.2020;DE0539104421;Нет схемы;ОПЕРАЦИЯ;0
13.05.2020;DE0360311853;Схема №2.8;ОПЕРАЦИЯ;11
29.05.2020;RU3111005017533;Схема №2.8;ОПЕРАЦИЯ;11
06.06.2020;RU3101090128652;Схема №2.8;ОПЕРАЦИЯ;11
08.06.2020;DE0360760826;Схема №2.8;ОПЕРАЦИЯ;11
23.06.2020;RU3110204120505;Схема №2.8;ОПЕРАЦИЯ;11
26.07.2020;RU3101090128982;Схема №2.8;ОПЕРАЦИЯ;11
28.07.2020;NL0751153310;Схема №2.8;ОПЕРАЦИЯ;11
06.08.2020;RU3101090126871;Схема №2.8;ОПЕРАЦИЯ;11
14.08.2020;NL0875878001;Схема №2.8;ОПЕРАЦИЯ;11
20.08.2020;NL0875948652;Схема №2.8;ОПЕРАЦИЯ;11
10.09.2020;RU3111005017765;Схема №2.8;ОПЕРАЦИЯ;11
