Date;CowID;TherSchema;TherPrep;TherDays
05.08.2019;RU3111005046332;Нет схемы;СХ№32.1;0
21.08.2019;RU3111005046375;Нет схемы;СХ№32.1;0
23.08.2019;RU3101100546378;Нет схемы;СХ№32.1;0
25.08.2019;RU3101100546878;Нет схемы;КАЛБУС;0
02.09.2019;DE0538892378;Нет схемы;СХ№22.1;0
03.09.2019;RU3101100546412;Нет схемы;СХ№32.1;0
07.09.2019;RU3101100546422;Нет схемы;СХ№32.1;0
16.09.2019;RU3101100546446;Нет схемы;СХ№32.1;0
19.09.2019;RU3101100546422;Нет схемы;СХ№32.1;0
22.09.2019;RU3101090130251;Нет схемы;ВЕТОМ;0
23.09.2019;NL0725739603;Нет схемы;СХ№21.1;0
02.10.2019;NL0675025180;Нет схемы;СХ№22.1;0
04.10.2019;RU3101150108671;Нет схемы;КАПЕЛЬНЦ;0
08.10.2019;RU3101090130300;Нет схемы;ВЕТОМ;0
11.10.2019;NL0922890020;Нет схемы;СХ№22.1;0
12.10.2019;RU3101090130311;Нет схемы;ВЕТОМ;0
13.10.2019;RU3101090130317;Нет схемы;ВЕТОМ;0
13.10.2019;RU3101090130318;Нет схемы;ВЕТОМ;0
16.10.2019;RU3101100503646;Нет схемы;СХ№22.1;0
18.10.2019;RU3101100546512;Нет схемы;СХ№32.1;0
20.10.2019;RU3101090130335;Нет схемы;ВЕТОМ;0
20.10.2019;RU3101090130338;Нет схемы;ВЕТОМ;0
23.10.2019;NL0656816969;Нет схемы;СХ№22.1;0
26.10.2019;RU3101090130355;Нет схемы;ВЕТОМ;0
29.10.2019;RU3101090130365;Нет схемы;ВЕТОМ;0
01.11.2019;RU3101150108811;Нет схемы;КАПЕЛЬНЦ;0
01.11.2019;NL0609539033;Нет схемы;СХ№22.1;0
05.11.2019;RU3101090130386;Нет схемы;ВЕТОМ;0
06.11.2019;RU3101090130388;Нет схемы;ВЕТОМ;0
07.11.2019;RU3101090130388;Нет схемы;ВЕТОМ;0
14.11.2019;RU3101090130418;Нет схемы;ВЕТОМ;0
16.11.2019;RU3101100546529;Нет схемы;СХ№32.1;0
17.11.2019;RU3101090130430;Нет схемы;ВЕТОМ;0
17.11.2019;RU3101090130432;Нет схемы;ВЕТОМ;0
01.12.2019;RU3101090130533;Нет схемы;ВЕТОМ;0
02.12.2019;RU3101100546566;Нет схемы;СХ№32.1;0
03.12.2019;RU3101090130537;Нет схемы;ВЕТОМ;0
05.12.2019;RU3101090130546;Нет схемы;ВЕТОМ;0
09.12.2019;RU3101100546590;Нет схемы;СХ№32.1;0
09.12.2019;RU3101100546588;Нет схемы;СХ№32.1;0
10.12.2019;RU3101090130286;Нет схемы;ТРАКСОВТ;0
10.12.2019;RU3101090130318;Нет схемы;ТРАКСОВТ;0
10.12.2019;RU3101090130317;Нет схемы;ТРАКСОВТ;0
10.12.2019;RU3101090130251;Нет схемы;ТРАКСОВТ;0
10.12.2019;RU3101090130314;Нет схемы;ТРАКСОВТ;0
10.12.2019;RU3101090130300;Нет схемы;ТРАКСОВТ;0
10.12.2019;RU3101090130311;Нет схемы;ТРАКСОВТ;0
16.12.2019;RU3101090130489;Нет схемы;ВЕТОМ;0
16.12.2019;RU3101090130486;Нет схемы;ВЕТОМ;0
16.12.2019;RU3111005046275;Схема №32.3 (поддерживающая молодняк);РРИНГЕРА;0
18.12.2019;RU3101090130365;Нет схемы;ТРАКСОВТ;0
18.12.2019;RU3101090130355;Нет схемы;ТРАКСОВТ;0
18.12.2019;RU3101090130338;Нет схемы;ТРАКСОВТ;0
18.12.2019;RU3101090130335;Нет схемы;ТРАКСОВТ;0
