Date;CowID;TraumaSchema;TraumaPrep;TraumaDays
02.08.2019;RU3101090118411;Нет схемы;СХ3.63К;0
03.08.2019;RU3110204012988;Нет схемы;СХ3.6;0
03.08.2019;RU3101090114348;Нет схемы;СХ№3.6;0
04.08.2019;RU3101090127937;Нет схемы;СХ№3.6;0
04.08.2019;RU3101090127851;Нет схемы;СХ№3.6;0
07.08.2019;RU3101100503409;Нет схемы;СХ3.6;0
08.08.2019;RU3110204130221;Нет схемы;СХ3.6;0
09.08.2019;RU3101090126864;Нет схемы;СХ№3.6;0
09.08.2019;RU3101090127937;Нет схемы;СХ№3.6;0
10.08.2019;NL0679209036;Нет схемы;СХ3.6;0
12.08.2019;RU3101090126766;Нет схемы;СХ№3.6;0
12.08.2019;NL0733820489;Нет схемы;СХ3.6;0
13.08.2019;RU3110204130221;Нет схемы;СХ3.6;0
14.08.2019;RU3101090128027;Нет схемы;СХ№3.6;0
15.08.2019;RU3110204130489;Нет схемы;СХ3.6;0
15.08.2019;NL0679209036;Нет схемы;СХ3.6;0
16.08.2019;RU3101090126871;Нет схемы;СХ№3.6;0
16.08.2019;NL0719720211;Нет схемы;ЗАРАЩЕНИ;0
17.08.2019;RU3101090126029;Нет схемы;СХ№3.6;0
18.08.2019;NL0720294703;Нет схемы;АБСЦВЫМЕ;0
20.08.2019;NL0679209036;Нет схемы;СХ3.6;0
20.08.2019;NL0744156821;Нет схемы;СХ3.6;0
21.08.2019;NL0750746094;Нет схемы;БРАК;0
25.08.2019;RU3101090126391;Нет схемы;СХ№3.6;0
25.08.2019;NL0872362789;Нет схемы;СХ3.6;0
26.08.2019;NL0599907601;Нет схемы;1,2Q;0
26.08.2019;NL0719720211;Нет схемы;1Нет схемы4Q;0
27.08.2019;NL0762055483;Нет схемы;4QУДДОЛЮ;0
28.08.2019;NL0750746094;Нет схемы;БРАК;0
28.08.2019;RU3101090129469;Нет схемы;СХ3.63Q;0
29.08.2019;RU3111005003501;Нет схемы;СХ3.6;0
30.08.2019;RU3101150140110;Нет схемы;СХ3.7;0
30.08.2019;RU3101090127010;Нет схемы;СХ№3.6;0
30.08.2019;RU3101050305116;Нет схемы;СХ3.7;0
31.08.2019;RU3101090116907;Нет схемы;СХ№3.6;0
31.08.2019;RU3101090126989;Нет схемы;СХ№3.6;0
