"article_text","article_seen","article_likes","article_dislikes","article_date"
"Ученые ВятГУ изучили влияние тренировочного процесса на функциональное состояние футболистов. На основе выводов исследования сформулированы рекомендации для тренеров, которые помогают отследить оптимальный уровень нагрузки и предупредить развитие патологий сердечно-сосудистой системы у спортсменов. Результаты работы опубликованы в ""Российском кардиологическом журнале"". Под воздействием тренировочного процесса организм спортсмена получает стрессовую физическую нагрузку, рассказали исследователи Вятского государственного университета (ВятГУ). В зависимости от ее объема, интенсивности и характера отдыха происходит адаптация к этому стрессу. Однако при чрезмерной нагрузке и при недостаточной степени восстановления происходит срыв адаптации регуляторных систем организма с возможным развитием патологий, как правило, сердечно-сосудистой системы. Наиболее информативным методом изучения регуляторных систем организма спортсмена в настоящее время является анализ показателей вариабельности ритма сердца. Он позволяет как количественно, так и качественно охарактеризовать активность регуляторных систем, состояние вегетативного баланса, а также способность к адаптации организма в данный момент, сообщили ученые. Уникальной особенностью исследования ученых ВятГУ, по их словам, является дистанционное определение показателей вариабельности сердечного ритма, что позволяет улучшить чистоту записи электрокардиограммы и получить наиболее точные данные. В ходе исследования ВятГУ были определены типы вегетативной регуляции обследуемых игроков и их соответствие игровым амплуа (нападающий, защитник, полузащитник). При чрезмерной интенсивности тренировочного процесса были обнаружены желудочковые экстрасистолы (разновидности нарушения ритма сердца, проявляются преждевременными сокращениями сердца, активация которых происходит из миокарда желудочков). Ученые дали тренерскому штабу рекомендации по снижению нагрузки. При следующих обследованиях экстрасистолы выявлены не были. Это свидетельствует о том, что при занятиях спортом необходим ежедневный динамический контроль функционального состояния организма. Исследователи отметили, что сейчас продолжается работа по выявлению наиболее типичных отклонений в состоянии сердечно-сосудистой системы у профессиональных спортсменов. А также разрабатываются рекомендации для снижения неблагоприятного воздействия перелетов, тренировочного и соревновательного процессов. ",1031,18,0,09:00 04.10.2022
" Белый дом отказался комментировать получение экс-сотрудником американских спецслужб Эдвардом Сноуденом российского гражданство, сославшись на заведенное против него уголовное дело. ""Поскольку, как я знаю, ему были предъявлены уголовные обвинения, мы бы переадресовали вас в министерство юстиции"", - ответила официальный представитель Белого дома Карин Жан-Пьер на просьбу о комментарии. Госдепартамент в свою очередь сообщил, что США продолжают считать Сноудена американским гражданином и считают, что он должен вернуться на родину, чтобы предстать перед судом. Президент РФ Владимир Путин ранее подписал указ о предоставлении российского гражданства Сноудену. Сбежавший в Россию американец в июне 2013 года инициировал крупный международный скандал, передав газетам Washington Post и Guardian ряд секретных материалов о программах слежки спецслужб США и Великобритании в интернете. ",18893,19,1,22:43 26.09.2022
"Мусульмане отмечают одно из главных событий исламского календаря — Курбан-байрам. Из-за угрозы распространения коронавируса в России действуют ограничительные меры, и многие мечети отказались от массовых молитв. Кадры празднования — в фотоленте Ria.ru. ",2447,47,63,14:16 31.07.2020
" В четверг стало известно, что в пятницу 30 сентября в Кремле состоится церемония, на которой будет подписан договор о вступлении в состав России четырех новых субъектов, где проходили референдумы. В рамках церемонии в Георгиевском зале Большого кремлевского дворца президент РФ Владимир Путин проведет встречу с главами освобожденных территорий, заявил пресс-секретарь главы государства Дмитрий Песков. Позже, 4 октября, Совет Федерации рассмотрит все вопросы, связанные с вхождением новых регионов в состав России. При этом генеральный секретарь ООН Антониу Гутерреш заявил в четверг, что ООН не признает присоединение к России ДНР, ЛНР, Херсонской и Запорожской областей по итогам референдумов – по его мнению, плебисциты нельзя считать подлинным выражением народной воли, так они прошли вне юридических рамок Украины и на территории, находящейся под контролем РФ. Российские военные за сутки поразили 6 пунктов управления украинской армии, в том числе двух механизированных бригад, сообщило в четверг Минобороны РФ. Истребители ВКС РФ сбили в воздухе украинский истребитель МиГ-29 в ДНР и бомбардировщик Су-24 в Николаевской области. Российские военные в ходе контрбатарейной борьбы подавили реактивную батарею систем залпового огня HIMARS в Днепропетровской области, добавили в министерстве. Кроме того, российская авиация уничтожила до 80 наемников ""Иностранного легиона"" в районе Николаевки в ДНР, а российские военные поразили артиллерийскую батарею американских гаубиц М777 в Запорожской области. Вооруженные силы РФ уничтожили еще девять украинских складов с боеприпасами в ДНР, Днепропетровской, Запорожской и Николаевской областях. ВС РФ уничтожили свыше 70 украинских военных и 14 единиц техники в пункте временной дислокации батальона 92-й механизированной бригады в Купянске Харьковской области, украинскую радиолокационную станцию зенитного ракетного комплекса С-300 в Николаевской области. Российские комплексы ПВО за минувшие сутки сбили 17 снарядов американских РСЗО HIMARS, противорадарную ракету HARM и восемь украинских беспилотников. Кроме того, российская ПВО за день сбила восемь украинских дронов над ДНР, ЛНР, Николаевской и Херсонской областями. Сотрудники полиции и Росгвардии предотвратили крупную диверсию на границе Херсонской и Запорожской областей, которая могла оставить без электричества целые районы, при этом украинские диверсанты взорвали одну опору ЛЭП, но остальные самодельные взрывные устройства (СВУ) российские силовики обезвредили, сообщили РИА Новости в правоохранительных органах Херсонской области. Украинские войска в ночь на четверг нанесли ракетный удар по газопроводу Херсонской области, без газа остался город Новая Каховка и Каховский район, сообщила администрация райцентра. Создание объединенных сил РФ, ДНР и ЛНР позволит освободить больше территорий от украинских боевиков, заявил в интервью РИА Новости глава представительства ЛНР в РФ Родион Мирошник. Президент России Владимир Путин провел телефонные переговоры с президентом Турции Тайипом Эрдоганом, в ходе которых проинформировал его об итогах состоявшихся 23-27 сентября референдумов о вхождении в состав РФ освобожденных территорий, сообщила пресс-служба Кремля. Путин и Эрдоган также обратили внимание на необходимость выполнения продуктовой сделки, включая снятие барьеров для поставок из РФ на мировые рынки. Эрдоган в очередной раз попросил Путина ""дать шанс"" переговорам с Киевом, по его словам, Анкара готова стать посредником. Он также заявил, что продление ""продуктовой сделки"" будет ""в общих интересах"". Стало известно, что Путин проведет встречу с главами освобожденных территорий 30 сентября в Москве, где в Георгиевском зале Большого кремлевского дворца будут подписаны договоры об их вступлении в состав РФ, заявил пресс-секретарь главы государства Дмитрий Песков. Позже, 4 октября, Совет Федерации рассмотрит все вопросы, связанные с вхождением новых регионов в состав России, сообщил председатель комитета Совфеда по конституционному законодательству Андрей Клишас. Сенаторов от Херсонской и Запорожской областей в случае присоединения регионов к России могут назначить в течение двух недель, от региональных парламентов - позже, возможны выборы депутатов, заявил РИА Новости представитель Крыма в Совете Федерации Сергей Цеков. Он добавил, что сенаторов от Донецкой и Луганской народных республик могут назначить в течение 10-15 дней с момента их присоединения к России, в республиках есть избранные, легитимные руководители субъектов, а также сформированы законодательные собрания. Глава представительства Луганской Народной Республики в РФ Родион Мирошник призвал ООН рассмотреть вопрос давления на ЛНР со стороны Киева во время проведения референдума. Он также заявил, что власти ЛНР не рассчитывают на признание Западом итогов референдума по вхождению в состав РФ, в этом нет необходимости. Позже генсек ООН Антониу Гутерреш заявил, что присоединение к России ДНР, ЛНР, Херсонской и Запорожской областей по итогам референдумов принять нельзя – по его мнению, плебисциты нельзя считать подлинным выражением народной воли, так они прошли вне юридических рамок Украины и на территории, находящейся под контролем РФ. Он отметил, что любая аннексия территории государства является нарушением Устава ООН и международного права. По его словам, Россия, как одна из пяти постоянных членов СБ ООН несет особую ответственность за исполнение Устава ООН. Любое решение о присоединении Донецкой, Луганской, Херсонской и Запорожской областей Украины не будет иметь юридической силы и заслуживает осуждения, подчеркнул генсек ООН. По его словам, такое решение ""не может сочетаться с международно-правовой базой"", ""оно является опасной эскалацией"" и ""оно не должно быть принято"". Позже Гутерреш выразил свою обеспокоенность постпреду РФ Василию Небензе в связи с процедурами, связанными с присоединением ДНР, ЛНР, Херсонской и Запорожской областей к России, заявил его официальный представитель Стефан Дюжаррик. Тем не менее Гутерреш выступает против выдавливания России с глобальных дипломатических площадок, заявил Дюжаррик. Он добавил, что ООН надеется на продолжение взаимодействия сторон продовольственной сделки. Финляндия не признает результаты референдумов ЛНР и ДНР, сообщили президент Финляндии Саули Ниинистё и глава кабмина Санна Марин. Глава кабмина также заявила, что ""Финляндия самым решительным образом осуждает любые попытки России аннексировать территории, входящие в состав Украины"", а результаты референдумов ""никогда не будут признаны"". В то же время официальный представитель МИД РФ Мария Захарова заявила, что во время референдумов Киев согласовывал удары из HIMARS по территориям Донбасса и двух голосующих областей с американским военным командованием. Она добавила, что, судя по всему, представители американского военного командования взяли в собственные руки реальное управление системами залпового огня HIMARS. Вашингтон фактически стал стороной конфликта на Украине, подчеркнула Захарова. Также посол Украины в США Оксана Маркарова заявила, что договоренность Киева и Вашингтона о неприменении американского оружия для ударов по территории России касается не всех видов вооружения, а только РСЗО HIMARS. ",6679,39,9,23:21 29.09.2022
" США не исключают возможности поставок Украине танков, но пока не готовы объявить о такой помощи, заявил в пятницу советник американского президента по национальной безопасности Джейк Салливан. РФ ранее направила странам НАТО ноту из-за поставок вооружений Украине. Глава МИД РФ Сергей Лавров отмечал, что любые грузы, которые содержат вооружение для Украины, станут законной целью для России. Во внешнеполитическом ведомстве РФ заявляли, что страны НАТО ""играют с огнем"", поставляя оружие на Украину. Пресс-секретарь президента РФ Дмитрий Песков отмечал, что накачивание Украины оружием со стороны Запада не способствует успеху российско-украинских переговоров и будет иметь негативный эффект. ",26438,51,31,22:51 30.09.2022
" Актер Барри Кеоган рассказал, как получил роль Джокера в ""Бэтмене"" Метта Ривза. Подробностями он поделился в интервью с GQ UK.  Изначально он хотел сыграть Загадочника и отправил запись с пробами команде, работавшей над лентой. Но на тот момент роль была закреплена за Джоной Хиллом, позже ее отдали Полу Дано.  Прошло месяца четыре, и Кеогану позвонил его агент.  ""Создатели ""Бэтмена"" хотят, чтобы ты сыграл Джокера. Но об нельзя никому говорить"", — заявил тот.  В роли Джокера Кеоган появился в фильме всего в одном фрагменте, и он не вошел в финальную версию фильма. Тем не менее посмотреть на работу Кеогана можно — вырезанную сцену опубликовали в Сети.  ""Немножко обаятельный и обиженный"", ""поломанный юноша"" — так Барри характеризует свою версию Джокера.  ""Я хотел, чтобы за гримом скрывался человек. Я хочу, чтобы зрители понимали, что все это маска, которую он надевает"", — поясняет артист.  ",67,0,0,13:20 04.10.2022
" Отношения Русской православной и Римско-католической церквей в настоящее время фактически заморожены, заявил председатель Отдела внешних церковных связей Московского патриархата митрополит Волоколамский Антоний (Севрюк). ""В последнее время, к сожалению, я должен сказать, что наши отношения практически заморожены... На данном этапе я должен сказать, что некоторые комментарии, которые мы читаем и слышим не только из уст папы Римского, но по большей части его помощников, совершенно не способствуют подготовке этой встречи (папы Франциска и патриарха Московского и всея Руси Кирилла – ред.) и нашему дальнейшему сотрудничеству"", – сообщил он в передаче ""Церковь и мир"" на телеканале ""Россия 24"" в субботу. Ранее митрополит Антоний сообщил РИА Новости, что патриарх Кирилл не посетит съезд лидеров мировых и традиционных религий в Казахстане в сентябре и не встретится там с папой Римским Франциском. Подготовка же новой встречи, возможность проведения которой в Иерусалиме Ватикан изучал весной, по словам митрополита, была приостановлена ватиканской стороной. Первая встреча патриарха Кирилла и папы Франциска состоялась 12 февраля 2016 года в здании международного аэропорта Гаваны. Встреча такого уровня стала первой за всю историю Русской православной и Римско-католической церквей. ",3158,122,9,20:18 01.10.2022
" Правящая в Австрии партия ÖVP на выборах в парламент Тироля показала исторически низкий результат, передает телеканал ORF со ссылкой на данные экзит-пулов. Согласно предварительным результатам, консервативная ÖVP (входит в коалиционное правительство Австрии во главе с канцлером Карлом Нехаммером. — Прим. ред.) набрала 34,7 процента голосов. Далее следует оппозиционная право-националистическая FPÖ, набравшая 18,8 процента, за ней социал-демократы из SPÖ с 17,5 процента голосов. Партия ""Зеленые"", которая также входит в коалиционное правительство Австрии, набрала 9,2 процента и, предварительно, покидает кабинет, партия Fritz — 9,9 процента, партия Neos — 6,3 процента голосов. Таким образом, продолжение ""черно-зеленой"" коалиции в Тироле при участии ÖVP и Зеленых невозможно, пишут СМИ.  Сами консерваторы теряют, предварительно, почти десять процентов голосов по сравнению с предыдущими выборами в 2018 году, на которых они получили 44,26 процента поддержки. Предполагается, что ÖVP войдет в новое коалиционное правительство Тироля, партнером консерваторов станет FPÖ или SPÖ. Сейчас в Австрии наблюдается рост инфляции и цен, связанный с надвигающимся на Европу энергетическим и экономическим кризисом. Партия ÖVP во главе с канцлером Нехаммером поддерживает санкции ЕС против России, но решительно протестует против введения газового эмбарго. Правые из FPÖ открыто выступают за продолжение энергетического сотрудничества с Москвой и указывают на невозможность в обозримом будущем наладить качественные и дешевые поставки энергоносителей в обход России. В сентябре в Австрии прошли массовые протесты, участники которых потребовали от правительства предпринять существенные шаги в борьбе с инфляцией и повышением цен. ",12749,286,7,22:43 25.09.2022
" Следственный комитет России поручил обжаловать решение прокуратуры об отмене постановления о возбуждении уголовного дела о превышении должностных полномочий при строительстве ТЦ в Реутове Московской области, сообщает СК РФ. Ранее сообщалось, что 26 июля в Реутове бизнесмен начал строить магазин, в результате чего были уничтожены зеленая зона и автомобильная парковка на арендуемом им участке. Отмечается, что жители округа в своих жалобах сообщают, что земли, на которых возводится объект, изначально являлись их придомовой территорией, но по решению местной администрации были переданы в аренду застройщику. Позже следователи завели уголовное дело о превышении должностных полномочий против чиновников администрации Реутова после жалоб жителей из-за строительства магазина. Постановление о возбуждении уголовного дела в последующем было отменено прокурором города. ""Председатель СК России поручил обжаловать решение прокуратуры города Реутова об отмене постановления о возбуждении уголовного дела о превышении должностных полномочий при осуществлении строительства в Московской области"", - сообщает ведомство в своем Telegram-канале. ",13323,16,3,22:53 02.10.2022
" В этом городе сочетаются монументальность сталинского ампира и уют тихих старинных европейских улочек. Россияне приезжают в столицу Белоруссии погулять, посетить экскурсии, пройтись по магазинам. О том, куда в Минске отправиться за покупками, где найти двор-колодец и зоопарк из пенопласта, как прокатиться в конном вагоне и попробовать лучшие драники, — в материале РИА Новости. ""В сентябре и октябре большой спрос на экскурсионные туры ""Вся Беларусь за семь дней"" и ""Выходные в Минске"", — говорит руководитель PR-отдела FUN&amp;SUN Ольга Иванова. Цена на второй — 10 752 рубля без перелета. Есть такие программы и у ""Интуриста"". Уик-энд в столице Белоруссии стоит от 10 354 рублей на человека без авиабилетов и от 20 990 — полный пакет. С 30 сентября можно отправиться в железнодорожный круиз из Москвы в Минск с заездом в Гродно или Брест. ""Белорусский вояж"", организованный компанией ""РЖД Тур"", длится четыре дня и три ночи, цена — от 28 тысяч рублей с туриста. Включено все: проезд, питание, экскурсии. Добраться до столицы Белоруссии несложно и самостоятельно — на поезде (семь часов в дороге, от двух тысяч рублей за билет в одну сторону), самолете (меньше полутора часов в воздухе, от 3200 рублей), автобусе (десять часов, 1700 рублей). Еще один вариант — личный автомобиль. Дорога хорошая — доедете за восемь часов. Только не забудьте оформить страховку на границе. Номер в гостинице — 1500-2000 рублей в сутки. Квартиру в аренду лучше подбирать на местных сайтах (realt.by, re.kufar.by): выйдет ощутимо дешевле. Главная улица Минска — проспект Независимости — это сталинский ампир. Но стоит свернуть в сторону, как оказываешься в Верхнем (или Старом) городе с вымощенными брусчаткой улочками, уютными ресторанчиками. Здесь застройка XVI–XVIII веков. Из достопримечательностей: костел Святого Иосифа, ратуша, собор Сошествия Святого Духа, Гостиный двор, собор Пресвятой Девы Марии, памятник войту (староста, глава магистрата) с ключом от города. А еще — Музей минской конки. Интересный экспонат — реконструкция вагона. Можно зайти внутрь и в сопровождении кондуктора отправиться в виртуальную поездку по городу. Вход — 3,5 белорусского рубля (чуть больше 80 российских). В Троицком предместье — разноцветные домики (некоторые, как, например, здание обувной фабрики Цитвера, — в первозданном виде сохранились с XIX века), букинистические магазины, антикварные лавки. Там особая атмосфера старины, отмечает гид-экскурсовод Дмитрий Дещеня. На окраине предместья — мост через Свислочь на Остров Мужества и Скорби, или Остров слез. В центре — мемориал погибшим в Афганской войне в 1979-1989-м. Из статуи ангела непрерывно текут слезы. Эмоционально тяжелое место, но впечатление сильное. Зайдите в Красный дворик (улица Революционная, 7). Это один из немногих сохранившихся ""колодцев"". Тут собирается богема: художники, музыканты, артисты. Если повезет, попадете на выставку, концерт или кинопоказ под открытым небом. Нагулявшись по центру, прокатитесь на метро до станции ""Восток"", чтобы увидеть здание Национальной библиотеки, советует Дмитрий. Оно очень необычное: построено в форме ромбокубооктаэдра (напоминает алмаз). По замыслу архитекторов, это символизирует бесценность и бесконечность знаний. Наверху — смотровая площадка, куда пускают всех желающих. Минские окраины не менее интересны, чем исторический центр. Прямо у МКАД (да, там тоже есть) во дворе дома 30 на улице Седых — целый зоопарк из пенопласта: аисты, лемуры, олени, панды, медведи, слоны, Чебурашка. Это творение местного пенсионера. На заборе висят баночки для сбора средств на поддержание скульптур, но денег в них, как правило, немного, поэтому экспонаты с годами стали походить на героев страшных сказок. Вечером отправляйтесь в костел Святых Симеона и Елены, который в народе называют ""Красным"", рекомендует гид. Там регулярно проводят концерты органной музыки, вход — за пожертвования. ""Туристы в последнее время едут в Белоруссию не только на экскурсию, но и за покупками, — говорит Ольга Иванова. — Поэтому мы запустили специальные шоп-туры"". В программе — посещение торговых центров в Минске и — по желанию — консультация по выбору и оформлению международных банковских карт Visa или Mastercard. Дополнительно можно заказать обзорную автобусно-пешеходную экскурсию по городу с осмотром достопримечательностей. Все занимает четыре дня. Стоит такое путешествие от 33,5 тысячи рублей за двоих без авиабилетов и от 59 тысяч — с перелетом. Заезды каждый четверг. ""Спрос стабильный. Заявки поступают регулярно"", — отмечает Иванова. Самый большой выбор бутиков — в торговых центрах Dana Mall, ""Замок"", Green City. Расплачиваться можно либо наличными белорусскими рублями, либо картой ""Мир"". ""Я уже не первый год приезжаю в Белоруссию на шопинг, — рассказывает студентка из Москвы Анастасия Кострова. — Приобретала исключительно продукцию местных брендов — ""Калинка"", ""Свитанок"", ""Купалинка"". У них добротная и недорогая домашняя одежда. А за босоножками и кроссовками всегда ходила в Marko и Belwest"". Можно пройтись и по магазинам европейских марок, которые ушли из России.  Туристы покупают и белорусскую косметику, достоинство которой — натуральный состав и невысокие цены.  В Минске много заведений общепита с запоминающимися названиями и хорошим меню: бар ""Суета"", кафе ""Бессонница"", столовая ""Экопауза"", рестораны ""Правда"" и ""Чайный пьяница"". Но если хочется не просто перекусить и выпить бокал вина, а продегустировать блюда национальной кухни, гид Дмитрий Дещеня советует обратить внимание на заведения ""Васильки"", ""Кухмистр"", ""Грунвальд"", ""Старовиленская корчма"", ""Литвины"". Закажите бабку (запеченный в духовке тертый картофель с мясом, луком и салом), драники (подают с грибами, семгой, курицей или просто со сметаной), колдуны (тоже драники, только с мясной начинкой), зразы, мачанку (блины с подливой из шкварок, ребрышек и колбасок). В качестве гастрономического сувенира из Минска везут шоколад и конфеты фабрики ""Коммунарка"", рогачевскую сгущенку, лидский квас, сбитень. А также фирменные настойки из клюквы, облепихи, малины, вишни.  ",11536,230,6,08:00 20.09.2022
